Customer ID,Recency,Frequency,Monetary
12346,164,11,372
12347,2,2,1323
12348,73,1,222
12349,42,3,2671
12351,10,1,300
12352,10,2,343
12353,43,1,317
12355,202,1,488
12356,15,3,3562
12357,23,2,12079
12358,10,3,2719
12359,60,6,2563
12360,14,5,1590
12361,97,3,321
12362,373,1,130
12366,268,1,500
12368,263,1,917
12369,48,3,1791
12370,259,3,774
12371,44,3,2179
12373,259,2,763
12374,56,3,2246
12376,24,2,503
12377,16,2,1798
12378,197,1,1407
12379,57,2,767
12380,100,7,6951
12385,14,1,1938
12386,1,1,258
12387,50,1,143
12388,80,2,1120
12389,37,3,1433
12391,99,5,2312
12392,226,1,234
12393,17,2,816
12395,6,4,2048
12396,309,1,931
12399,20,3,853
12400,49,1,205
12402,27,5,1031
12403,156,1,591
12404,317,1,63
12406,34,3,2975
12408,20,3,1452
12409,55,4,12346
12410,137,1,320
12411,44,1,346
12412,37,3,1370
12413,37,1,241
12414,98,3,390
12415,10,7,19543
12416,291,1,202
12417,45,11,3167
12418,48,3,1352
12419,20,2,503
12421,50,2,291
12422,29,14,4428
12423,22,2,763
12424,57,2,1579
12425,83,1,964
12426,297,1,762
12427,6,1,303
12429,0,5,3735
12431,8,13,4370
12433,1,5,7205
12434,16,1,297
12435,31,4,6096
12437,30,21,7731
12439,317,2,1158
12440,97,2,859
12441,1,1,173
12443,367,1,485
12445,55,1,301
12449,45,2,768
12450,34,3,490
12451,98,3,3634
12454,30,4,13151
12455,80,4,3413
12457,70,1,632
12458,62,2,830
12459,240,1,454
12460,91,1,326
12466,317,1,56
12467,58,1,132
12468,161,3,2941
12469,157,2,3070
12470,324,1,211
12471,9,49,20139
12472,4,13,11308
12474,13,13,5048
12475,44,1,426
12476,31,12,7298
12477,34,3,7056
12480,34,3,2183
12481,0,6,6765
12482,211,29,23691
12483,13,11,2635
12484,118,6,1828
12485,164,1,708
12486,66,1,1037
12487,365,1,285
12490,13,11,4405
12492,38,1,452
12494,0,3,626
12495,275,1,357
12496,255,2,54
12497,35,2,5205
12499,195,1,393
12500,70,8,1697
12503,219,1,1126
12504,52,2,297
12505,43,1,955
12507,219,1,539
12510,94,7,4195
12511,63,1,3084
12514,276,1,580
12516,65,2,1336
12519,111,1,385
12523,9,12,2582
12524,23,9,6640
12525,133,3,973
12527,129,2,386
12529,163,1,316
12530,50,5,2096
12531,321,1,1807
12533,262,2,1367
12537,43,1,732
12538,13,1,276
12539,85,3,5646
12540,13,16,8854
12542,119,2,481
12543,83,1,980
12547,135,1,175
12549,210,6,1575
12553,20,2,916
12554,83,1,468
12555,317,1,129
12557,6,4,6725
12562,20,2,1185
12563,43,1,249
12567,2,7,4308
12568,279,1,70
12570,317,1,77
12573,16,4,556
12575,92,2,622
12576,27,3,826
12577,16,5,995
12578,20,2,1847
12580,211,1,637
12582,57,2,1469
12583,8,13,7166
12586,9,3,1865
12588,34,3,743
12589,56,6,4048
12591,25,2,899
12592,154,3,2145
12594,13,5,1751
12595,139,1,299
12598,98,3,1511
12599,16,6,1264
12600,6,12,2444
12601,39,1,104
12605,11,4,1232
12606,317,1,21
12608,39,1,415
12609,9,6,2309
12613,23,5,3490
12615,48,4,3449
12616,23,1,417
12619,195,1,140
12621,0,16,11086
12623,51,6,3442
12625,144,2,2481
12629,20,2,1558
12631,91,5,2841
12632,155,2,804
12633,17,3,3514
12634,170,2,490
