Customer ID,Recency,Frequency,Monetary,M_score,F_score,R_score,Score,Segment
12346,164,11,372,2,4,2,242,At Risk
12347,2,2,1323,4,2,5,524,Potential Loyalists
12348,73,1,222,1,1,2,211,Lost Customers
12349,42,3,2671,5,3,3,335,Regular Customers
12351,10,1,300,2,1,5,512,New Customers
12352,10,2,343,2,2,5,522,Potential Loyalists
12353,43,1,317,2,1,3,312,Regular Customers
12355,202,1,488,2,1,1,112,Lost Customers
12356,15,3,3562,5,3,4,435,Potential Loyalists
12357,23,2,12079,5,2,4,425,Potential Loyalists
12358,10,3,2719,5,3,5,535,Potential Loyalists
12359,60,6,2563,5,4,3,345,Regular Customers
12360,14,5,1590,4,3,5,534,Potential Loyalists
12361,97,3,321,2,3,2,232,Hibernating
12362,373,1,130,1,1,1,111,Lost Customers
12366,268,1,500,2,1,1,112,Lost Customers
12368,263,1,917,3,1,1,113,Lost Customers
12369,48,3,1791,4,3,3,334,Regular Customers
12370,259,3,774,3,3,1,133,Hibernating
12371,44,3,2179,5,3,3,335,Regular Customers
12373,259,2,763,3,2,1,123,Hibernating
12374,56,3,2246,5,3,3,335,Regular Customers
12376,24,2,503,2,2,4,422,Potential Loyalists
12377,16,2,1798,4,2,4,424,Potential Loyalists
12378,197,1,1407,4,1,1,114,Lost Customers
12379,57,2,767,3,2,3,323,Regular Customers
12380,100,7,6951,5,4,2,245,At Risk
12385,14,1,1938,4,1,5,514,New Customers
12386,1,1,258,2,1,5,512,New Customers
12387,50,1,143,1,1,3,311,Regular Customers
12388,80,2,1120,4,2,2,224,Hibernating
12389,37,3,1433,4,3,3,334,Regular Customers
12391,99,5,2312,5,3,2,235,Hibernating
12392,226,1,234,1,1,1,111,Lost Customers
12393,17,2,816,3,2,4,423,Potential Loyalists
12395,6,4,2048,4,3,5,534,Potential Loyalists
12396,309,1,931,3,1,1,113,Lost Customers
12399,20,3,853,3,3,4,433,Potential Loyalists
12400,49,1,205,1,1,3,311,Regular Customers
12402,27,5,1031,4,3,4,434,Potential Loyalists
12403,156,1,591,3,1,2,213,Lost Customers
12404,317,1,63,1,1,1,111,Lost Customers
12406,34,3,2975,5,3,4,435,Potential Loyalists
12408,20,3,1452,4,3,4,434,Potential Loyalists
12409,55,4,12346,5,3,3,335,Regular Customers
12410,137,1,320,2,1,2,212,Lost Customers
12411,44,1,346,2,1,3,312,Regular Customers
12412,37,3,1370,4,3,3,334,Regular Customers
12413,37,1,241,1,1,3,311,Regular Customers
12414,98,3,390,2,3,2,232,Hibernating
12415,10,7,19543,5,4,5,545,Champions
12416,291,1,202,1,1,1,111,Lost Customers
12417,45,11,3167,5,4,3,345,Regular Customers
12418,48,3,1352,4,3,3,334,Regular Customers
12419,20,2,503,2,2,4,422,Potential Loyalists
12421,50,2,291,2,2,3,322,Regular Customers
12422,29,14,4428,5,4,4,445,Loyal Customers
12423,22,2,763,3,2,4,423,Potential Loyalists
12424,57,2,1579,4,2,3,324,Regular Customers
12425,83,1,964,3,1,2,213,Lost Customers
12426,297,1,762,3,1,1,113,Lost Customers
12427,6,1,303,2,1,5,512,New Customers
12429,0,5,3735,5,3,5,535,Potential Loyalists
12431,8,13,4370,5,4,5,545,Champions
12433,1,5,7205,5,3,5,535,Potential Loyalists
12434,16,1,297,2,1,4,412,New Customers
12435,31,4,6096,5,3,4,435,Potential Loyalists
12437,30,21,7731,5,5,4,455,Loyal Customers
12439,317,2,1158,4,2,1,124,Hibernating
12440,97,2,859,3,2,2,223,Hibernating
12441,1,1,173,1,1,5,511,New Customers
12443,367,1,485,2,1,1,112,Lost Customers
12445,55,1,301,2,1,3,312,Regular Customers
12449,45,2,768,3,2,3,323,Regular Customers
12450,34,3,490,2,3,4,432,Potential Loyalists
12451,98,3,3634,5,3,2,235,Hibernating
12454,30,4,13151,5,3,4,435,Potential Loyalists
12455,80,4,3413,5,3,2,235,Hibernating
12457,70,1,632,3,1,3,313,Regular Customers
12458,62,2,830,3,2,3,323,Regular Customers
12459,240,1,454,2,1,1,112,Lost Customers
12460,91,1,326,2,1,2,212,Lost Customers
12466,317,1,56,1,1,1,111,Lost Customers
12467,58,1,132,1,1,3,311,Regular Customers
12468,161,3,2941,5,3,2,235,Hibernating
12469,157,2,3070,5,2,2,225,Hibernating
12470,324,1,211,1,1,1,111,Lost Customers
12471,9,49,20139,5,5,5,555,Champions
12472,4,13,11308,5,4,5,545,Champions
12474,13,13,5048,5,4,5,545,Champions
12475,44,1,426,2,1,3,312,Regular Customers
12476,31,12,7298,5,4,4,445,Loyal Customers
12477,34,3,7056,5,3,4,435,Potential Loyalists
12480,34,3,2183,5,3,4,435,Potential Loyalists
12481,0,6,6765,5,4,5,545,Champions
12482,211,29,23691,5,5,1,155,At Risk
12483,13,11,2635,5,4,5,545,Champions
12484,118,6,1828,4,4,2,244,At Risk
12485,164,1,708,3,1,2,213,Lost Customers
12486,66,1,1037,4,1,3,314,Regular Customers
12487,365,1,285,2,1,1,112,Lost Customers
12490,13,11,4405,5,4,5,545,Champions
12492,38,1,452,2,1,3,312,Regular Customers
12494,0,3,626,3,3,5,533,Potential Loyalists
12495,275,1,357,2,1,1,112,Lost Customers
12496,255,2,54,1,2,1,121,Hibernating
12497,35,2,5205,5,2,4,425,Potential Loyalists
12499,195,1,393,2,1,1,112,Lost Customers
12500,70,8,1697,4,4,3,344,Regular Customers
12503,219,1,1126,4,1,1,114,Lost Customers
12504,52,2,297,2,2,3,322,Regular Customers
12505,43,1,955,3,1,3,313,Regular Customers
12507,219,1,539,3,1,1,113,Lost Customers
12510,94,7,4195,5,4,2,245,At Risk
12511,63,1,3084,5,1,3,315,Regular Customers
12514,276,1,580,3,1,1,113,Lost Customers
12516,65,2,1336,4,2,3,324,Regular Customers
12519,111,1,385,2,1,2,212,Lost Customers
12523,9,12,2582,5,4,5,545,Champions
12524,23,9,6640,5,4,4,445,Loyal Customers
12525,133,3,973,3,3,2,233,Hibernating
12527,129,2,386,2,2,2,222,Hibernating
12529,163,1,316,2,1,2,212,Lost Customers
12530,50,5,2096,4,3,3,334,Regular Customers
12531,321,1,1807,4,1,1,114,Lost Customers
12533,262,2,1367,4,2,1,124,Hibernating
12537,43,1,732,3,1,3,313,Regular Customers
12538,13,1,276,2,1,5,512,New Customers
12539,85,3,5646,5,3,2,235,Hibernating
12540,13,16,8854,5,4,5,545,Champions
12542,119,2,481,2,2,2,222,Hibernating
12543,83,1,980,3,1,2,213,Lost Customers
12547,135,1,175,1,1,2,211,Lost Customers
12549,210,6,1575,4,4,1,144,At Risk
12553,20,2,916,3,2,4,423,Potential Loyalists
12554,83,1,468,2,1,2,212,Lost Customers
12555,317,1,129,1,1,1,111,Lost Customers
12557,6,4,6725,5,3,5,535,Potential Loyalists
12562,20,2,1185,4,2,4,424,Potential Loyalists
12563,43,1,249,1,1,3,311,Regular Customers
12567,2,7,4308,5,4,5,545,Champions
12568,279,1,70,1,1,1,111,Lost Customers
12570,317,1,77,1,1,1,111,Lost Customers
12573,16,4,556,3,3,4,433,Potential Loyalists
12575,92,2,622,3,2,2,223,Hibernating
12576,27,3,826,3,3,4,433,Potential Loyalists
12577,16,5,995,4,3,4,434,Potential Loyalists
12578,20,2,1847,4,2,4,424,Potential Loyalists
12580,211,1,637,3,1,1,113,Lost Customers
12582,57,2,1469,4,2,3,324,Regular Customers
12583,8,13,7166,5,4,5,545,Champions
12586,9,3,1865,4,3,5,534,Potential Loyalists
12588,34,3,743,3,3,4,433,Potential Loyalists
12589,56,6,4048,5,4,3,345,Regular Customers
12591,25,2,899,3,2,4,423,Potential Loyalists
12592,154,3,2145,4,3,2,234,Hibernating
12594,13,5,1751,4,3,5,534,Potential Loyalists
12595,139,1,299,2,1,2,212,Lost Customers
12598,98,3,1511,4,3,2,234,Hibernating
12599,16,6,1264,4,4,4,444,Loyal Customers
12600,6,12,2444,5,4,5,545,Champions
12601,39,1,104,1,1,3,311,Regular Customers
12605,11,4,1232,4,3,5,534,Potential Loyalists
12606,317,1,21,1,1,1,111,Lost Customers
12608,39,1,415,2,1,3,312,Regular Customers
12609,9,6,2309,5,4,5,545,Champions
12613,23,5,3490,5,3,4,435,Potential Loyalists
12615,48,4,3449,5,3,3,335,Regular Customers
12616,23,1,417,2,1,4,412,New Customers
12619,195,1,140,1,1,1,111,Lost Customers
12621,0,16,11086,5,4,5,545,Champions
12623,51,6,3442,5,4,3,345,Regular Customers
12625,144,2,2481,5,2,2,225,Hibernating
12629,20,2,1558,4,2,4,424,Potential Loyalists
12631,91,5,2841,5,3,2,235,Hibernating
12632,155,2,804,3,2,2,223,Hibernating
12633,17,3,3514,5,3,4,435,Potential Loyalists
12634,170,2,490,2,2,2,222,Hibernating
12635,27,2,1241,4,2,4,424,Potential Loyalists
12636,373,1,141,1,1,1,111,Lost Customers
12637,13,4,2318,5,3,5,535,Potential Loyalists
12638,274,1,249,1,1,1,111,Lost Customers
12639,69,2,826,3,2,3,323,Regular Customers
12643,20,6,5005,5,4,4,445,Loyal Customers
12644,65,3,1440,4,3,3,334,Regular Customers
12645,44,4,1764,4,3,3,334,Regular Customers
12647,2,27,14201,5,5,5,555,Champions
12648,72,3,793,3,3,2,233,Hibernating
12649,17,5,1671,4,3,4,434,Potential Loyalists
12651,13,3,263,2,3,5,532,Potential Loyalists
12652,69,1,97,1,1,3,311,Regular Customers
12653,161,1,1950,4,1,2,214,Lost Customers
12655,58,1,261,2,1,3,312,Regular Customers
12656,60,3,2356,5,3,3,335,Regular Customers
12661,71,1,162,1,1,2,211,Lost Customers
12662,8,10,3138,5,4,5,545,Champions
12663,259,2,239,1,2,1,121,Hibernating
12664,149,2,1188,4,2,2,224,Hibernating
12665,52,2,250,1,2,3,321,Regular Customers
12666,29,1,1248,4,1,4,414,New Customers
12668,13,6,7637,5,4,5,545,Champions
12670,20,2,764,3,2,4,423,Potential Loyalists
12671,241,1,2622,5,1,1,115,Lost Customers
12672,230,1,211,1,1,1,111,Lost Customers
12673,36,1,619,3,1,3,313,Regular Customers
12675,188,2,958,3,2,1,123,Hibernating
12676,43,5,1511,4,3,3,334,Regular Customers
12677,190,2,395,2,2,1,122,Hibernating
12678,10,9,16652,5,4,5,545,Champions
12681,2,24,17080,5,5,5,555,Champions
12682,0,23,11745,5,5,5,555,Champions
12683,0,8,4220,5,4,5,545,Champions
12686,6,1,89,1,1,5,511,New Customers
12687,115,2,2138,4,2,2,224,Hibernating
12691,55,1,134,1,1,3,311,Regular Customers
12692,272,1,110,1,1,1,111,Lost Customers
12693,31,3,847,3,3,4,433,Potential Loyalists
12694,56,1,973,3,1,3,313,Regular Customers
12695,163,3,825,3,3,2,233,Hibernating
12696,69,2,851,3,2,3,323,Regular Customers
12698,225,1,339,2,1,1,112,Lost Customers
12699,52,1,638,3,1,3,313,Regular Customers
12701,164,4,1648,4,3,2,234,Hibernating
12703,268,3,722,3,3,1,133,Hibernating
12705,18,5,4893,5,3,4,435,Potential Loyalists
12708,3,9,2601,5,4,5,545,Champions
12709,1,20,21356,5,4,5,545,Champions
12711,246,2,1339,4,2,1,124,Hibernating
12712,0,10,2797,5,4,5,545,Champions
12714,23,7,9384,5,4,4,445,Loyal Customers
12717,225,1,277,2,1,1,112,Lost Customers
12720,4,6,2478,5,4,5,545,Champions
